朝市,アサイチ
速度,ソクド
即答,ソクトウ
即売,ソクバイ
束縛,ソクバク
続編,ゾクヘン
速報,ソクホウ
側面,ソクメン
測量,ソクリョウ
狙撃,ソゲキ
底,ソコ
祖国,ソコク
底無し,ソコナシ
そこら,ソコラ
素材,ソザイ
阻止,ソシ
組織,ソシキ
素質,ソシツ
訴訟,ソショウ
祖先,ソセン
粗相,ソソウ
粗大,ソダイ
措置,ソチ
そちら,ソチラ
疎通,ソツウ
速球,ソッキュウ
即興,ソッキョウ
卒業,ソツギョウ
卒業論文,ソツギョウロンブン
側近,ソッキン
ソックス,ソックス
即決,ソッケツ
即効,ソッコウ
速攻,ソッコウ
続行,ゾッコウ
即効性,ソッコウセイ
率先,ソッセン
卒論,ソツロン
袖,ソデ
ソテー,ソテー
袖口,ソデグチ
外,ソト
外側,ソトガワ
外面,ソトヅラ
外回り,ソトマワリ
供え,ソナエ
備え,ソナエ
備え付け,ソナエツケ
供え物,ソナエモノ
園,ソノ
そのころ,ソノコロ
そのほか,ソノホカ
そのまま,ソノママ
そのまま,ソノママ
其の物,ソノモノ
側,ソバ
そば,ソバ
そばかす,ソバカス
祖父,ソフ
ソファー,ソファー
ソフトウェア,ソフトウェア
ソフトボール,ソフトボール
祖父母,ソフボ
ソプラノ,ソプラノ
素振り,ソブリ
祖母,ソボ
素朴,ソボク
ソムリエ,ソムリエ
染め,ソメ
染め物,ソメモノ
そもそも,ソモソモ
空,ソラ
空豆,ソラマメ
空耳,ソラミミ
そり,ソリ
それ,ソレ
それぞれ,ソレゾレ
それなり,ソレナリ
ソ連,ソレン
ソロ,ソロ
そろい,ソロイ
そろばん,ソロバン
ぞろ目,ゾロメ
村,ソン
損,ソン
損害,ソンガイ
ソング,ソング
尊敬,ソンケイ
尊敬語,ソンケイゴ
尊厳,ソンゲン
尊厳死,ソンゲンシ
存在,ソンザイ
存在感,ソンザイカン
損失,ソンシツ
損傷,ソンショウ
存続,ソンゾク
尊重,ソンチョウ
村長,ソンチョウ
損得,ソントク
他,タ
田,タ
多,タ
ダーク,ダーク
ターゲット,ターゲット
ターミナル,ターミナル
タール,タール
タイ,タイ
隊,タイ
タイ,タイ
台,ダイ
台,ダイ
題,ダイ
台,ダイ
題,ダイ
大安,タイアン
体育,タイイク
体育館,タイイクカン
体育の日,タイイクノヒ
第一,ダイイチ
第一,ダイイチ
第一印象,ダイイチインショウ
第一線,ダイイッセン
退院,タイイン
隊員,タイイン
隊員,タイイン
ダイエット,ダイエット
対応,タイオウ
大王,ダイオウ
体温,タイオン
体温計,タイオンケイ
退化,タイカ
大家,タイカ
耐火,タイカ
大河,タイガ
タイガー,タイガー
大会,タイカイ
退会,タイカイ
体外,タイガイ
対外,タイガイ
大概,タイガイ
体格,タイカク
退学,タイガク
大学,ダイガク
大学院,ダイガクイン
大学生,ダイガクセイ
対角線,タイカクセン
大学寮,ダイガクリョウ
大家族,ダイカゾク
体感,タイカン
対岸,タイガン
体感温度,タイカンオンド
大気,タイキ
待機,タイキ
大気汚染,タイキオセン
大企業,ダイキギョウ
代議士,ダイギシ
大吉,ダイキチ
大規模,ダイキボ
耐久,タイキュウ
退去,タイキョ
大金,タイキン
代金,ダイキン
大工,ダイク
待遇,タイグウ
退屈,タイクツ
大群,タイグン
体型,タイケイ
体系,タイケイ
体形,タイケイ
対決,タイケツ
体験,タイケン
太鼓,タイコ
対抗,タイコウ
代行,ダイコウ
対向車,タイコウシャ
大国,タイコク
だいごみ,ダイゴミ
大根,ダイコン
大佐,タイサ
大差,タイサ
滞在,タイザイ
題材,ダイザイ
対策,タイサク
大作,タイサク
退散,タイサン
第三,ダイサン
第三者,ダイサンシャ
大使,タイシ
胎児,タイジ
退治,タイジ
大事,ダイジ
大事,ダイジ
ダイジェスト,ダイジェスト
大使館,タイシカン
大自然,ダイシゼン
退室,タイシツ
体質,タイシツ
代謝,タイシャ
退社,タイシャ
貸借,タイシャク
体臭,タイシュウ
大衆,タイシュウ
体重,タイジュウ
大衆化,タイシュウカ
大衆的,タイシュウテキ
退出,タイシュツ
対処,タイショ
対象,タイショウ
大正,タイショウ
対照,タイショウ
対称,タイショウ
大賞,タイショウ
大将,タイショウ
退場,タイジョウ
大小,ダイショウ
代償,ダイショウ
退職,タイショク
退職金,タイショクキン
耐震,タイシン
対人,タイジン
大臣,ダイジン
大震災,ダイシンサイ
大豆,ダイズ
耐水,タイスイ
体制,タイセイ
大勢,タイセイ
体勢,タイセイ
態勢,タイセイ
体積,タイセキ
大戦,タイセン
対戦,タイセン
体操,タイソウ
大卒,ダイソツ
怠惰,タイダ
代打,ダイダ
大体,ダイタイ
代替,ダイタイ
代々,ダイダイ
大多数,ダイタスウ
退団,タイダン
対談,タイダン
大胆,ダイタン
大地,ダイチ
体調,タイチョウ
体長,タイチョウ
体長,タイチョウ
隊長,タイチョウ
台帳,ダイチョウ
大腸,ダイチョウ
大腸菌,ダイチョウキン
タイツ,タイツ
大抵,タイテイ
大抵,タイテイ
態度,タイド
対等,タイトウ
台頭,タイトウ
大統領,ダイトウリョウ
大都会,ダイトカイ
台所,ダイドコロ
大都市,ダイトシ
タイトル,タイトル
体内,タイナイ
台無し,ダイナシ
ダイナマイト,ダイナマイト
退任,タイニン
ダイニング,ダイニング
ダイニングキッチン,ダイニングキッチン
耐熱,タイネツ
耐熱ガラス,タイネツガラス
大の,ダイノ
滞納,タイノウ
大の字,ダイノジ
ダイバー,ダイバー
大敗,タイハイ
体罰,タイバツ
大半,タイハン
対比,タイヒ
代表,ダイヒョウ
代表作,ダイヒョウサク
ダイビング,ダイビング
ダイブ,ダイブ
台風,タイフウ
大仏,ダイブツ
大部分,ダイブブン
太平洋,タイヘイヨウ
大別,タイベツ
代弁,ダイベン
逮捕,タイホ
大砲,タイホウ
大木,タイボク
台本,ダイホン
大麻,タイマ
タイマー,タイマー
たいまつ,タイマツ
怠慢,タイマン
大名,ダイミョウ
タイミング,タイミング
タイムリー,タイムリー
題名,ダイメイ
代名詞,ダイメイシ
対面,タイメン
題目,ダイモク
タイヤ,タイヤ
代役,ダイヤク
ダイヤモンド,ダイヤモンド
ダイヤル,ダイヤル
貸与,タイヨ
太陽,タイヨウ
代用,ダイヨウ
太陽系,タイヨウケイ
太陽暦,タイヨウレキ
代理,ダイリ
大陸,タイリク
大理石,ダイリセキ
対立,タイリツ
代理店,ダイリテン
大量,タイリョウ
大漁,タイリョウ
大量生産,タイリョウセイサン
体力,タイリョク
タイル,タイル
対話,タイワ
田植え,タウエ
ダウト,ダウト
ダウン,ダウン
ダウンジャケット,ダウンジャケット
ダウンロード,ダウンロード
だ液,ダエキ
絶え間,タエマ
だ円,ダエン
タオル,タオル
高,タカ
たか,タカ
他界,タカイ
互い,タガイ
多額,タガク
高台,タカダイ
打楽器,ダガッキ
高跳び,タカトビ
高菜,タカナ
高値,タカネ
高まり,タカマリ
宝,タカラ
宝物,タカラモノ
滝,タキ
多岐,タキ
薪,タキギ
タキシード,タキシード
打球,ダキュウ
妥協,ダキョウ
宅,タク
タグ,タグ
たくあん,タクアン
たぐい,タグイ
濁音,ダクオン
沢山,タクサン
沢山,タクサン
タクシー,タクシー
託児所,タクジショ
卓上,タクジョウ
宅地,タクチ
濁点,ダクテン
宅配,タクハイ
宅配便,タクハイビン
巧み,タクミ
たくみ,タクミ
竹,タケ
丈,タケ
打撃,ダゲキ
竹の子,タケノコ
たこ,タコ
たこ,タコ
たこ揚げ,タコアゲ
他国,タコク
多国籍,タコクセキ
多彩,タサイ
駄作,ダサク
足し,タシ
出し,ダシ
出し入れ,ダシイレ
足し算,タシザン
多湿,タシツ
他者,タシャ
他社,タシャ
打者,ダシャ
だじゃれ,ダジャレ
多種,タシュ
多重,タジュウ
多種多様,タシュタヨウ
多少,タショウ
打診,ダシン
多数,タスウ
打数,ダスウ
多数決,タスウケツ
助け,タスケ
惰性,ダセイ
打席,ダセキ
蛇足,ダソク
只,タダ
多大,タダイ
戦い,タタカイ
たたき,タタキ
畳,タタミ
太刀,タチ
質,タチ
立ち会い,タチアイ
立ち上がり,タチアガリ
立ち入り,タチイリ
立ち入り禁止,タチイリキンシ
立ち食い,タチグイ
立ち退き,タチノキ
立場,タチバ
立ち話,タチバナシ
立ち見,タチミ
立ち読み,タチヨミ
脱衣,ダツイ
脱会,ダッカイ
奪還,ダッカン
卓球,タッキュウ
タックル,タックル
抱っこ,ダッコ
ダッシュ,ダッシュ
脱臭,ダッシュウ
脱出,ダッシュツ
脱色,ダッショク
達人,タツジン
脱水,ダッスイ
達成,タッセイ
脱税,ダツゼイ
脱線,ダッセン
脱走,ダッソウ
脱退,ダッタイ
タッチ,タッチ
タップ,タップ
脱帽,ダツボウ
脱毛,ダツモウ
脱落,ダツラク
縦,タテ
盾,タテ
建て売り,タテウリ
立て替え,タテカエ
縦書き,タテガキ
縦じま,タテジマ
建前,タテマエ
建物,タテモノ
打点,ダテン
妥当,ダトウ
打倒,ダトウ
他動詞,タドウシ
例え,タトエ
棚,タナ
七夕,タナバタ
七夕祭り,タナバタマツリ
谷,タニ
だに,ダニ
谷間,タニマ
他人,タニン
他人行儀,タニンギョウギ
多人数,タニンズウ
たぬき,タヌキ
種,タネ
種明かし,タネアカシ
種馬,タネウマ
多年,タネン
楽しみ,タノシミ
頼み,タノミ
束,タバ
束,タバ
打破,ダハ
タバコ,タバコ
田畑,タハタ
多発,タハツ
旅,タビ
度,タビ
足袋,タビ
旅先,タビサキ
旅路,タビジ
旅立ち,タビダチ
旅人,タビビト
旅館,タビヤカタ
ダビング,ダビング
タブー,タブー
ダブル,ダブル
ダブルス,ダブルス
ダブルプレー,ダブルプレー
多分,タブン
食べ物,タベモノ
食べ物屋,タベモノヤ
他方,タホウ
多忙,タボウ
打撲,ダボク
玉,タマ
玉,タマ
弾,タマ
卵,タマゴ
魂,タマシイ
たまねぎ,タマネギ
民,タミ
為,タメ
溜め,タメ
駄目,ダメ
ため息,タメイキ
ダメージ,ダメージ
試し,タメシ
多面,タメン
多目的,タモクテキ
多用,タヨウ
多様化,タヨウカ
頼り,タヨリ
便り,タヨリ
鱈,タラ
堕落,ダラク
たらこ,タラコ
打率,ダリツ
多量,タリョウ
たる,タル
タルト,タルト
だるま,ダルマ
垂れ,タレ
タレント,タレント
たん,タン
端,タン
暖,ダン
弾,ダン
弾圧,ダンアツ
単位,タンイ
単一,タンイツ
単一,タンイツ
単価,タンカ
短歌,タンカ
段階,ダンカイ
断崖,ダンガイ
短期,タンキ
短期間,タンキカン
短期大学,タンキダイガク
探求,タンキュウ
探究,タンキュウ
短距離,タンキョリ
タンク,タンク
タンクトップ,タンクトップ
団結,ダンケツ
探検,タンケン
断言,ダンゲン
単語,タンゴ
タンゴ,タンゴ
団子,ダンゴ
談合,ダンゴウ
端午の節句,タンゴノセック
段差,ダンサ
ダンサー,ダンサー
短冊,タンザク
炭酸,タンサン
炭酸ガス,タンサンガス
炭酸水,タンサンスイ
男子,ダンシ
男児,ダンジ
短時間,タンジカン
単車,タンシャ
短縮,タンシュク
単純,タンジュン
単純,タンジュン
短所,タンショ
男女,ダンジョ
誕生,タンジョウ
誕生日,タンジョウヒ
男女同権,ダンジョドウケン
単身,タンシン
単身赴任,タンシンフニン
たんす,タンス
ダンス,ダンス
淡水,タンスイ
断水,ダンスイ
炭水化物,タンスイカブツ
単数,タンスウ
ダンスパーティー,ダンスパーティー
男性,ダンセイ
男性的,ダンセイテキ
断絶,ダンゼツ
単線,タンセン
炭素,タンソ
断層,ダンソウ
男尊女卑,ダンソンジョヒ
単体,タンタイ
短大,タンダイ
団体,ダンタイ
探知,タンチ
団地,ダンチ
単調,タンチョウ
短調,タンチョウ
団長,ダンチョウ
探偵,タンテイ
断定,ダンテイ
ダンディー,ダンディー
担当,タントウ
単独,タンドク
段取り,ダンドリ
だんな,ダンナ
担任,タンニン
断熱,ダンネツ
断念,ダンネン
堪能,タンノウ
たんぱく,タンパク
淡白,タンパク
単発,タンパツ
タンバリン,タンバリン
短パン,タンパン
ダンプ,ダンプ
ダンベル,ダンベル
短編,タンペン
断片,ダンペン
断片的,ダンペンテキ
担保,タンポ
暖房,ダンボウ
たんぽぽ,タンポポ
端末,タンマツ
短命,タンメイ
断面,ダンメン
男優,ダンユウ
段落,ダンラク
団らん,ダンラン
鍛練,タンレン
談話,ダンワ
血,チ
知,チ
治安,チアン
地位,チイ
地域,チイキ
地域社会,チイキシャカイ
チーズ,チーズ
チープ,チープ
チーム,チーム
チームメート,チームメート
チームワーク,チームワーク
知恵,チエ
チェア,チェア
チェーン,チェーン
チェス,チェス
チェック,チェック
チェックアウト,チェックアウト
チェックポイント,チェックポイント
チェックリスト,チェックリスト
チェリー,チェリー
チェロ,チェロ
遅延,チエン
チェンジ,チェンジ
地下,チカ
地価,チカ
誓い,チカイ
地下街,チカガイ
近く,チカク
知覚,チカク
地学,チガク
近ごろ,チカゴロ
地下水,チカスイ
地下鉄,チカテツ
地下道,チカドウ
近道,チカミチ
力,チカラ
力添え,チカラゾエ
力持ち,チカラモチ
痴漢,チカン
地球,チキュウ
地球儀,チキュウギ
チキン,チキン
チキンライス,チキンライス
地区,チク
畜産,チクサン
畜生,チクショウ
蓄積,チクセキ
乳首,チクビ
竹輪,チクワ
地形,チケイ
チケット,チケット
遅刻,チコク
地裁,チサイ
致死,チシ
知事,チジ
知識,チシキ
知識人,チシキジン
地質,チシツ
地上,チジョウ
知人,チジン
地図,チズ
地図帳,チズチョウ
知性,チセイ
地層,チソウ
チタン,チタン
父,チチ
乳,チチ
父親,チチオヤ
父方,チチカタ
父の日,チチノヒ
父母,チチハハ
縮み,チヂミ
地中,チチュウ
秩序,チツジョ
窒素,チッソ
窒息,チッソク
地点,チテン
知能,チノウ
知能指数,チノウシスウ
ちび,チビ
地表,チヒョウ
地平線,チヘイセン
地方,チホウ
地方行政,チホウギョウセイ
地方公共団体,チホウコウキョウダンタイ
地方公務員,チホウコウムイン
地方裁判所,チホウサイバンショ
地方自治,チホウジチ
地方自治体,チホウジチタイ
ちまた,チマタ
地名,チメイ
知名度,チメイド
茶,チャ
チャージ,チャージ
チャーシュー,チャーシュー
チャーター,チャーター
チャーハン,チャーハン
チャーミング,チャーミング
チャイム,チャイム
茶色,チャイロ
茶会,チャカイ
着手,チャクシュ
着色,チャクショク
着席,チャクセキ
着地,チャクチ
着任,チャクニン
着払い,チャクバライ
着用,チャクヨウ
着陸,チャクリク
着火,チャッカ
チャック,チャック
茶漬け,チャヅケ
着工,チャッコウ
茶の間,チャノマ
茶柱,チャバシラ
ちゃぶ台,チャブダイ
チャペル,チャペル
ちゃら,チャラ
チャリティー,チャリティー
チャレンジ,チャレンジ
チャレンジャー,チャレンジャー
茶碗,チャワン
チャンス,チャンス
チャンネル,チャンネル
チャンピオン,チャンピオン
ちゃんぽん,チャンポン
注,チュウ
注意,チュウイ
中央,チュウオウ
中央銀行,チュウオウギンコウ
中華,チュウカ
仲介,チュウカイ
宙返り,チュウガエリ
中学,チュウガク
中学生,チュウガクセイ
中学校,チュウガッコウ
中辛,チュウカラ
中華料理,チュウカリョウリ
中間,チュウカン
中間色,チュウカンショク
中間報告,チュウカンホウコク
中期,チュウキ
中級,チュウキュウ
中継,チュウケイ
中継放送,チュウケイホウソウ
中堅,チュウケン
中元,チュウゲン
中古,チュウコ
中高年,チュウコウネン
忠告,チュウコク
中国地方,チュウゴクチホウ
中古車,チュウコシャ
中古品,チュウコヒン
駐在,チュウザイ
駐在所,チュウザイショ
中止,チュウシ
駐車,チュウシャ
注射,チュウシャ
注釈,チュウシャク
駐車場,チュウシャジョウ
抽出,チュウシュツ
中旬,チュウジュン
抽象,チュウショウ
中傷,チュウショウ
中小企業,チュウショウキギョウ
昼食,チュウショク
中心,チュウシン
中枢,チュウスウ
中性,チュウセイ
忠誠,チュウセイ
中世,チュウセイ
中絶,チュウゼツ
抽選,チュウセン
中退,チュウタイ
中断,チュウダン
ちゅうちょ,チュウチョ
中途,チュウト
中東,チュウトウ
中毒,チュウドク
中途半端,チュウトハンパ
チューナー,チューナー
注入,チュウニュウ
チューニング,チューニング
中年,チュウネン
中盤,チュウバン
中火,チュウビ
チューブ,チューブ
中部,チュウブ
ちゅう房,チュウボウ
注目,チュウモク
注文,チュウモン
昼夜,チュウヤ
中立,チュウリツ
中略,チュウリャク
中流,チュウリュウ
駐輪,チュウリン
朝,チョウ
ちょう,チョウ
兆,チョウ
調,チョウ
腸,チョウ
弔意,チョウイ
調印,チョウイン
懲役,チョウエキ
超音波,チョウオンパ
超過,チョウカ
懲戒免職,チョウカイメンショク
聴覚,チョウカク
朝刊,チョウカン
長官,チョウカン
長期,チョウキ
調教,チョウキョウ
長距離,チョウキョリ
聴講,チョウコウ
兆候,チョウコウ
調合,チョウゴウ
超高層,チョウコウソウ
彫刻,チョウコク
調査,チョウサ
調子,チョウシ
ちょうし,チョウシ
長時間,チョウジカン
庁舎,チョウシャ
長者,チョウジャ
聴取,チョウシュ
長寿,チョウジュ
徴収,チョウシュウ
聴衆,チョウシュウ
長所,チョウショ
長女,チョウジョ
頂上,チョウジョウ
朝食,チョウショク
超人,チョウジン
調整,チョウセイ
調節,チョウセツ
挑戦,チョウセン
町村,チョウソン
ちょうだい,チョウダイ
調達,チョウタツ
長調,チョウチョウ
ちょうちん,チョウチン
調停,チョウテイ
頂点,チョウテン
町内,チョウナイ
町内会,チョウナイカイ
長男,チョウナン
町人,チョウニン
ちょうネクタイ,チョウネクタイ
超能力,チョウノウリョク
長髪,チョウハツ
挑発,チョウハツ
懲罰,チョウバツ
重複,チョウフク
長文,チョウブン
徴兵,チョウヘイ
長編,チョウヘン
重宝,チョウホウ
長方形,チョウホウケイ
調味,チョウミ
調味料,チョウミリョウ
町民,チョウミン
ちょう結び,チョウムスビ
町名,チョウメイ
調理,チョウリ
調理師,チョウリシ
調律,チョウリツ
調和,チョウワ
ちょき,チョキ
貯金,チョキン
直営,チョクエイ
直撃,チョクゲキ
直後,チョクゴ
直視,チョクシ
直射,チョクシャ
直進,チョクシン
直接,チョクセツ
直接,チョクセツ
直接税,チョクセツゼイ
直接的,チョクセツテキ
直線,チョクセン
直前,チョクゼン
直属,チョクゾク
直通,チョクツウ
直面,チョクメン
直訳,チョクヤク
直立,チョクリツ
直流,チョクリュウ
直列,チョクレツ
チョコ,チョコ
チョコレート,チョコレート
著作,チョサク
著作権,チョサクケン
著作物,チョサクブツ
著者,チョシャ
著書,チョショ
貯水,チョスイ
貯蔵,チョゾウ
貯蓄,チョチク
直下,チョッカ
直角,チョッカク
直感,チョッカン
直観,チョッカン
直観的,チョッカンテキ
直球,チョッキュウ
直径,チョッケイ
直結,チョッケツ
直行,チョッコウ
チョップ,チョップ
著名,チョメイ
ちょんまげ,チョンマゲ
散らし,チラシ
地理,チリ
ちり,チリ
ちりめん,チリメン
治療,チリョウ
知力,チリョク
チルド,チルド
珍,チン
賃金,チンギン
チンゲン菜,チンゲンサイ
ちんこ,チンコ
陳述,チンジュツ
賃貸,チンタイ
沈滞,チンタイ
沈着,チンチャク
珍重,チンチョウ
鎮痛,チンツウ
チンパンジー,チンパンジー
ちんぴら,チンピラ
ちんぷんかんぷん,チンプンカンプン
沈没,チンボツ
珍味,チンミ
沈黙,チンモク
陳列,チンレツ
ツアー,ツアー
追加,ツイカ
追及,ツイキュウ
追求,ツイキュウ
追跡,ツイセキ
追跡調査,ツイセキチョウサ
一日,ツイタチ
追悼,ツイトウ
追突,ツイトツ
追放,ツイホウ
墜落,ツイラク
ツイン,ツイン
通,ツウ
通,ツウ
通院,ツウイン
通過,ツウカ
通貨,ツウカ
通学,ツウガク
痛感,ツウカン
通勤,ツウキン
通行,ツウコウ
通行止め,ツウコウドメ
通告,ツウコク
通算,ツウサン
通称,ツウショウ
通常,ツウジョウ
通信,ツウシン
通信衛星,ツウシンエイセイ
通信社,ツウシンシャ
通信制,ツウシンセイ
通信販売,ツウシンハンバイ
通信簿,ツウシンボ
通信網,ツウシンモウ
通達,ツウタツ
通知,ツウチ
通知表,ツウチヒョウ
通知簿,ツウチボ
通帳,ツウチョウ
通販,ツウハン
通報,ツウホウ
通訳,ツウヤク
通用,ツウヨウ
ツーリスト,ツーリスト
ツーリング,ツーリング
ツール,ツール
通路,ツウロ
通話,ツウワ
つえ,ツエ
使い,ツカイ
使い,ツカイ
使い捨て,ツカイステ
使い道,ツカイミチ
使い物,ツカイモノ
使い分け,ツカイワケ
つかの間,ツカノマ
疲れ,ツカレ
月,ツキ
月,ツキ
つき,ツキ
次,ツギ
継ぎ,ツギ
付き合い,ツキアイ
突き当たり,ツキアタリ
月々,ツキヅキ
付きっ切り,ツキッキリ
月日,ツキヒ
付き人,ツキビト
月見,ツキミ
机,ツクエ
つくだ煮,ツクダニ
償い,ツグナイ
作り,ツクリ
作り,ヅクリ
作り話,ツクリバナシ
作り物,ツクリモノ
付け,ツケ
付け,ツケ
告げ,ツゲ
付け合わせ,ツケアワセ
漬け物,ツケモノ
都合,ツゴウ
伝え,ツタエ
土,ツチ
筒,ツツ
続き,ツヅキ
突っ込み,ツッコミ
筒抜け,ツツヌケ
包み,ツツミ
つづり,ツヅリ
つて,ツテ
都度,ツド
集い,ツドイ
勤め,ツトメ
勤め先,ツトメサキ
勤め人,ツトメニン
ツナ,ツナ
綱,ツナ
つながり,ツナガリ
つなぎ,ツナギ
綱引き,ツナヒキ
津波,ツナミ
常,ツネ
角,ツノ
唾,ツバ
翼,ツバサ
つばめ,ツバメ
粒,ツブ
粒,ツブ
潰し,ツブシ
粒々,ツブツブ
つぼ,ツボ
つぼみ,ツボミ
妻,ツマ
つま,ツマ
つまみ,ツマミ
罪,ツミ
積み木,ツミキ
積み荷,ツミニ
爪,ツメ
詰め,ツメ
詰め,ヅメ
詰め合わせ,ツメアワセ
爪切り,ツメキリ
積り,ツモリ
通夜,ツヤ
艶,ツヤ
梅雨,ツユ
つゆ,ツユ
梅雨入り,ツユイリ
強気,ツヨキ
強火,ツヨビ
面,ツラ
釣り,ツリ
釣り銭,ツリセン
鶴,ツル
連れ,ツレ
連れ,ヅレ
連れ子,ツレコ
つわり,ツワリ
出,デ
出会い,デアイ
手足,テアシ
手当たり,テアタリ
手当て,テアテ
手洗い,テアライ
提案,テイアン
ＤＭ,ディーエム
ＤＪ,ディージェー
Ｔシャツ,ティーシャツ
ディーゼルエンジン,ディーゼルエンジン
ディーゼル車,ディーゼルシャ
ＴＰＯ,ティーピーオー
ＴＶ,ティーブイ
ディーラー,ディーラー
定員,テイイン
庭園,テイエン
低温,テイオン
低音,テイオン
低下,テイカ
定価,テイカ
定額,テイガク
低学年,テイガクネン
定期,テイキ
提起,テイキ
定義,テイギ
低気圧,テイキアツ
定期券,テイキケン
定休,テイキュウ
提供,テイキョウ
定期預金,テイキヨキン
低金利,テイキンリ
定形,テイケイ
提携,テイケイ
締結,テイケツ
低血圧,テイケツアツ
提言,テイゲン
抵抗,テイコウ
帝国,テイコク
体裁,テイサイ
停止,テイシ
提示,テイジ
定時,テイジ
呈示,テイジ
低姿勢,テイシセイ
定時制,テイジセイ
停車,テイシャ
亭主,テイシュ
定住,テイジュウ
亭主関白,テイシュカンパク
提出,テイシュツ
提唱,テイショウ
定食,テイショク
定職,テイショク
泥水,デイスイ
定数,テイスウ
ディスカウント,ディスカウント
ディスカッション,ディスカッション
ディスク,ディスク
ディスコ,ディスコ
ディスプレー,ディスプレー
訂正,テイセイ
定説,テイセツ
提訴,テイソ
低速,テイソク
低俗,テイゾク
邸宅,テイタク
低地,テイチ
定着,テイチャク
ティッシュ,ティッシュ
ティッシュペーパー,ティッシュペーパー
ディテール,ディテール
停電,テイデン
程度,テイド
ディナー,ディナー
丁寧,テイネイ
丁寧,テイネイ
定年,テイネン
定年制,テイネンセイ
停泊,テイハク
定番,テイバン
定評,テイヒョウ
ディフェンス,ディフェンス
底辺,テイヘン
堤防,テイボウ
低迷,テイメイ
出入り,デイリ
出入り口,デイリクチ
停留所,テイリュウショ
手入れ,テイレ
定例,テイレイ
ディレクター,ディレクター
手打ち,テウチ
テークアウト,テークアウト
データ,データ
データ通信,データツウシン
デート,デート
テーピング,テーピング
テープ,テープ
テーブル,テーブル
テーブルクロス,テーブルクロス
テープレコーダー,テープレコーダー
テーマ,テーマ
テーマソング,テーマソング
デーモン,デーモン
手遅れ,テオクレ
手押し,テオシ
手鏡,テカガミ
手掛かり,テガカリ
手書き,テガキ
出稼ぎ,デカセギ
手紙,テガミ
手柄,テガラ
敵,テキ
出来,デキ
出来上がり,デキアガリ
敵意,テキイ
適応,テキオウ
適合,テキゴウ
出来事,デキゴト
適材,テキザイ
敵視,テキシ
適所,テキショ
テキスト,テキスト
適性,テキセイ
適正,テキセイ
適性検査,テキセイケンサ
適切,テキセツ
適切,テキセツ
敵対,テキタイ
出来高,デキダカ
敵地,テキチ
適度,テキド
適当,テキトウ
適任,テキニン
摘発,テキハツ
適用,テキヨウ
適量,テキリョウ
適齢,テキレイ
適齢期,テキレイキ
手口,テグチ
出口,デグチ
テクニック,テクニック
テクノロジー,テクノロジー
手首,テクビ
凸凹,デコボコ
デザート,デザート
デザイナー,デザイナー
デザイン,デザイン
手先,テサキ
出先,デサキ
手探り,テサグリ
手提げ,テサゲ
手触り,テザワリ
弟子,デシ
デジカメ,デジカメ
デジタル,デジタル
デジタル化,デジタルカ
デジタルカメラ,デジタルカメラ
デジタル信号,デジタルシンゴウ
手品,テジナ
手順,テジュン
手錠,テジョウ
手数,テスウ
手数料,テスウリョウ
デスク,デスク
テスト,テスト
手相,テソウ
手助け,テダスケ
手立て,テダテ
でたらめ,デタラメ
手近,テヂカ
手違い,テチガイ
手帳,テチョウ
鉄,テツ
鉄,テツ
撤回,テッカイ
哲学,テツガク
哲学的,テツガクテキ
手付き,テツキ
デッキ,デッキ
撤去,テッキョ
鉄筋,テッキン
手作り,テヅクリ
手付け,テツケ
手付け金,テツケキン
鉄拳,テッケン
鉄鋼,テッコウ
鉄骨,テッコツ
デッサン,デッサン
鉄人,テツジン
鉄則,テッソク
撤退,テッタイ
手伝い,テツダイ
手続き,テツヅキ
徹底,テッテイ
鉄道,テツドウ
デッドヒート,デッドヒート
撤廃,テッパイ
鉄板,テッパン
鉄分,テツブン
てっぺん,テッペン
鉄棒,テツボウ
鉄砲,テッポウ
徹夜,テツヤ
鉄腕,テツワン
手取り,テドリ
手直し,テナオシ
手習い,テナライ
テナント,テナント
テニス,テニス
デニム,デニム
手荷物,テニモツ
手抜き,テヌキ
手の甲,テノコウ
手羽,テバ
デパート,デパート
手配,テハイ
出番,デバン
デビュー,デビュー
デビル,デビル
でぶ,デブ
手袋,テブクロ
手ぶら,テブラ
手振り,テブリ
デフレ,デフレ
テフロン,テフロン
手本,テホン
手間,テマ
デマ,デマ
手前,テマエ
出前,デマエ
出窓,デマド
手土産,テミヤゲ
出迎え,デムカエ
デメリット,デメリット
デモ,デモ
手持ち,テモチ
手元,テモト
デュエット,デュエット
寺,テラ
寺子屋,テラコヤ
テラス,テラス
照り,テリ
手料理,テリョウリ
てるてる坊主,テルテルボウズ
テレビ,テレビ
テレビジョン,テレビジョン
テレビ電話,テレビデンワ
テレホン,テレホン
テレホンカード,テレホンカード
テロ,テロ
テロリスト,テロリスト
手渡し,テワタシ
点,テン
点,テン
天,テン
電圧,デンアツ
店員,テンイン
田園,デンエン
点火,テンカ
添加,テンカ
天下,テンカ
転嫁,テンカ
電化,デンカ
展開,テンカイ
田楽,デンガク
転換,テンカン
転換期,テンカンキ
天気,テンキ
転機,テンキ
電気,デンキ
電器,デンキ
電機,デンキ
伝記,デンキ
電気器具,デンキキグ
天気図,テンキズ
電気スタンド,デンキスタンド
電気洗濯機,デンキセンタクキ
電球,デンキュウ
転居,テンキョ
